method,f1,precision,recall,hub_recovery,density_pred,N,T,trial,T_N_ratio,dgp
OLS-TE,0.27522935779816515,0.17341040462427745,0.6666666666666666,0.2,0.19885057471264367,30,500,0,16.666666666666668,garch_factor
LASSO-TE,0.5135135135135135,0.6551724137931034,0.4222222222222222,0.4,0.03333333333333333,30,500,1,16.666666666666668,garch_factor
OLS-TE,0.22707423580786026,0.14130434782608695,0.5777777777777777,0.4,0.21149425287356322,30,500,1,16.666666666666668,garch_factor
LASSO-TE,0.410958904109589,0.5357142857142857,0.3333333333333333,0.6,0.03218390804597701,30,500,2,16.666666666666668,garch_factor
OLS-TE,0.2318840579710145,0.14814814814814814,0.5333333333333333,0.4,0.18620689655172415,30,500,2,16.666666666666668,garch_factor
LASSO-TE,0.5074626865671642,0.7727272727272727,0.37777777777777777,0.4,0.02528735632183908,30,500,3,16.666666666666668,garch_factor
OLS-TE,0.3287671232876712,0.2376237623762376,0.5333333333333333,0.2,0.11609195402298851,30,500,3,16.666666666666668,garch_factor
LASSO-TE,0.5070422535211268,0.6923076923076923,0.4,0.4,0.029885057471264367,30,500,4,16.666666666666668,garch_factor
OLS-TE,0.3,0.20869565217391303,0.5333333333333333,0.4,0.13218390804597702,30,500,4,16.666666666666668,garch_factor
LASSO-TE,0.012987012987012988,0.034482758620689655,0.008,0.0,0.01183673469387755,50,60,0,1.2,gaussian
OLS-TE,0.11627906976744186,0.11278195488721804,0.12,0.2,0.054285714285714284,50,60,0,1.2,gaussian
LASSO-TE,0.044444444444444446,0.3,0.024,0.2,0.004081632653061225,50,60,1,1.2,gaussian
OLS-TE,0.11382113821138211,0.11570247933884298,0.112,0.0,0.04938775510204082,50,60,1,1.2,gaussian
LASSO-TE,0.043478260869565216,0.23076923076923078,0.024,0.4,0.005306122448979592,50,60,2,1.2,gaussian
OLS-TE,0.12295081967213115,0.12605042016806722,0.12,0.4,0.04857142857142857,50,60,2,1.2,gaussian
LASSO-TE,0.027210884353741496,0.09090909090909091,0.016,0.2,0.008979591836734694,50,60,3,1.2,gaussian
OLS-TE,0.1076923076923077,0.1037037037037037,0.112,0.2,0.05510204081632653,50,60,3,1.2,gaussian
LASSO-TE,0.043795620437956206,0.25,0.024,0.4,0.004897959183673469,50,60,4,1.2,gaussian
OLS-TE,0.16393442622950818,0.16806722689075632,0.16,0.2,0.04857142857142857,50,60,4,1.2,gaussian
LASSO-TE,0.0958904109589041,0.3333333333333333,0.056,0.4,0.008571428571428572,50,60,0,1.2,garch_only
OLS-TE,0.13968253968253969,0.11578947368421053,0.176,0.0,0.07755102040816327,50,60,0,1.2,garch_only
LASSO-TE,0.13953488372093023,0.2553191489361702,0.096,0.0,0.019183673469387756,50,60,1,1.2,garch_only
OLS-TE,0.16025641025641027,0.13368983957219252,0.2,0.0,0.0763265306122449,50,60,1,1.2,garch_only
LASSO-TE,0.058394160583941604,0.3333333333333333,0.032,0.4,0.004897959183673469,50,60,2,1.2,garch_only
OLS-TE,0.1267605633802817,0.11320754716981132,0.144,0.4,0.06489795918367347,50,60,2,1.2,garch_only
LASSO-TE,0.11695906432748537,0.21739130434782608,0.08,0.0,0.018775510204081632,50,60,3,1.2,garch_only
OLS-TE,0.1308411214953271,0.10714285714285714,0.168,0.0,0.08,50,60,3,1.2,garch_only
LASSO-TE,0.10256410256410256,0.25806451612903225,0.064,0.0,0.012653061224489797,50,60,4,1.2,garch_only
OLS-TE,0.15789473684210525,0.12442396313364056,0.216,0.4,0.08857142857142856,50,60,4,1.2,garch_only
LASSO-TE,0.03870967741935484,0.1,0.024,0.4,0.012244897959183673,50,60,0,1.2,factor_only
