method,f1,precision,recall,hub_recovery,density_pred,N,T,trial,T_N_ratio,alpha,dgp
LASSO (BIC),0.36470588235294116,0.6888888888888889,0.248,0.0,0.018367346938775512,50,250,3,5.0,1.0,garch_factor
LASSO (BIC),0.2875816993464052,0.7857142857142857,0.176,0.0,0.011428571428571429,50,250,4,5.0,1.0,garch_factor
ElasticNet(a=0.1),0.5074626865671642,0.6710526315789473,0.408,0.2,0.031020408163265307,50,500,0,10.0,0.1,garch_factor
ElasticNet(a=0.1),0.43018867924528303,0.40714285714285714,0.456,0.0,0.05714285714285714,50,500,1,10.0,0.1,garch_factor
ElasticNet(a=0.1),0.5053763440860215,0.7704918032786885,0.376,0.2,0.02489795918367347,50,500,2,10.0,0.1,garch_factor
ElasticNet(a=0.1),0.45544554455445546,0.5974025974025974,0.368,0.2,0.03142857142857143,50,500,3,10.0,0.1,garch_factor
ElasticNet(a=0.1),0.40930232558139534,0.4888888888888889,0.352,0.4,0.036734693877551024,50,500,4,10.0,0.1,garch_factor
ElasticNet(a=0.5),0.5108225108225108,0.5566037735849056,0.472,0.4,0.04326530612244898,50,500,0,10.0,0.5,garch_factor
ElasticNet(a=0.5),0.5028571428571429,0.88,0.352,0.2,0.02040816326530612,50,500,1,10.0,0.5,garch_factor
ElasticNet(a=0.5),0.5568181818181818,0.9607843137254902,0.392,0.4,0.020816326530612245,50,500,2,10.0,0.5,garch_factor
ElasticNet(a=0.5),0.5485714285714286,0.96,0.384,0.4,0.02040816326530612,50,500,3,10.0,0.5,garch_factor
ElasticNet(a=0.5),0.4117647058823529,0.7777777777777778,0.28,0.0,0.018367346938775512,50,500,4,10.0,0.5,garch_factor
ElasticNet(a=0.9),0.5473684210526316,0.8,0.416,0.4,0.026530612244897958,50,500,0,10.0,0.9,garch_factor
ElasticNet(a=0.9),0.5445026178010471,0.7878787878787878,0.416,0.2,0.026938775510204082,50,500,1,10.0,0.9,garch_factor
ElasticNet(a=0.9),0.48,0.84,0.336,0.0,0.02040816326530612,50,500,2,10.0,0.9,garch_factor
ElasticNet(a=0.9),0.4,0.6545454545454545,0.288,0.2,0.022448979591836733,50,500,3,10.0,0.9,garch_factor
ElasticNet(a=0.9),0.5683060109289617,0.896551724137931,0.416,0.4,0.0236734693877551,50,500,4,10.0,0.9,garch_factor
LASSO (BIC),0.541871921182266,0.7051282051282052,0.44,0.4,0.03183673469387755,50,500,0,10.0,1.0,garch_factor
LASSO (BIC),0.5168539325842697,0.8679245283018868,0.368,0.2,0.02163265306122449,50,500,1,10.0,1.0,garch_factor
LASSO (BIC),0.5612244897959183,0.7746478873239436,0.44,0.0,0.028979591836734694,50,500,2,10.0,1.0,garch_factor
LASSO (BIC),0.5358851674641149,0.6666666666666666,0.448,0.4,0.03428571428571429,50,500,3,10.0,1.0,garch_factor
LASSO (BIC),0.5054945054945055,0.8070175438596491,0.368,0.4,0.02326530612244898,50,500,4,10.0,1.0,garch_factor
ElasticNet(a=0.1),0.018083182640144666,0.09433962264150944,0.01,0.0,0.005353535353535353,100,60,0,0.6,0.1,garch_factor
ElasticNet(a=0.1),0.019736842105263157,0.05555555555555555,0.012,0.2,0.01090909090909091,100,60,1,0.6,0.1,garch_factor
ElasticNet(a=0.1),0.026981450252951095,0.08602150537634409,0.016,0.0,0.009393939393939394,100,60,2,0.6,0.1,garch_factor
ElasticNet(a=0.1),0.03484320557491289,0.13513513513513514,0.02,0.0,0.007474747474747475,100,60,3,0.6,0.1,garch_factor
ElasticNet(a=0.1),0.016722408026755852,0.05102040816326531,0.01,0.0,0.009898989898989899,100,60,4,0.6,0.1,garch_factor
ElasticNet(a=0.5),0.09944064636420137,0.0721370604147881,0.16,0.2,0.11202020202020202,100,60,0,0.6,0.5,garch_factor
ElasticNet(a=0.5),0.09216589861751152,0.06869479882237488,0.14,0.0,0.10292929292929293,100,60,1,0.6,0.5,garch_factor
ElasticNet(a=0.5),0.08354755784061697,0.061553030303030304,0.13,0.2,0.10666666666666667,100,60,2,0.6,0.5,garch_factor
ElasticNet(a=0.5),0.08356164383561644,0.06354166666666666,0.122,0.0,0.09696969696969697,100,60,3,0.6,0.5,garch_factor
ElasticNet(a=0.5),0.08238805970149254,0.05872340425531915,0.138,0.0,0.11868686868686869,100,60,4,0.6,0.5,garch_factor
ElasticNet(a=0.9),0.08979000724112962,0.07037457434733257,0.124,0.0,0.088989898989899,100,60,0,0.6,0.9,garch_factor
ElasticNet(a=0.9),0.08398133748055987,0.06870229007633588,0.108,0.0,0.07939393939393939,100,60,1,0.6,0.9,garch_factor
ElasticNet(a=0.9),0.08607198748043818,0.07069408740359898,0.11,0.0,0.07858585858585859,100,60,2,0.6,0.9,garch_factor
ElasticNet(a=0.9),0.08333333333333333,0.06707317073170732,0.11,0.0,0.08282828282828283,100,60,3,0.6,0.9,garch_factor
ElasticNet(a=0.9),0.0838150289017341,0.06561085972850679,0.116,0.0,0.0892929292929293,100,60,4,0.6,0.9,garch_factor
LASSO (BIC),0.045283018867924525,0.4,0.024,0.0,0.0030303030303030303,100,60,0,0.6,1.0,garch_factor
LASSO (BIC),0.04924242424242424,0.4642857142857143,0.026,0.0,0.0028282828282828283,100,60,1,0.6,1.0,garch_factor
LASSO (BIC),0.04158790170132325,0.3793103448275862,0.022,0.0,0.0029292929292929295,100,60,2,0.6,1.0,garch_factor
LASSO (BIC),0.056818181818181816,0.5357142857142857,0.03,0.2,0.0028282828282828283,100,60,3,0.6,1.0,garch_factor
LASSO (BIC),0.05313092979127135,0.5185185185185185,0.028,0.0,0.0027272727272727275,100,60,4,0.6,1.0,garch_factor
ElasticNet(a=0.1),0.09829867674858223,0.896551724137931,0.052,0.0,0.0029292929292929295,100,120,0,1.2,0.1,garch_factor
ElasticNet(a=0.1),0.09487666034155598,0.9259259259259259,0.05,0.2,0.0027272727272727275,100,120,1,1.2,0.1,garch_factor
ElasticNet(a=0.1),0.06923076923076923,0.9,0.036,0.2,0.00202020202020202,100,120,2,1.2,0.1,garch_factor
ElasticNet(a=0.1),0.07169811320754717,0.6333333333333333,0.038,0.2,0.0030303030303030303,100,120,3,1.2,0.1,garch_factor
ElasticNet(a=0.1),0.06551059730250482,0.8947368421052632,0.034,0.0,0.0019191919191919192,100,120,4,1.2,0.1,garch_factor
ElasticNet(a=0.5),0.07293666026871401,0.9047619047619048,0.038,0.0,0.0021212121212121214,100,120,0,1.2,0.5,garch_factor
ElasticNet(a=0.5),0.1261595547309833,0.8717948717948718,0.068,0.2,0.00393939393939394,100,120,1,1.2,0.5,garch_factor
