N,T,T_N,trial,h,signal,t_stat,n_conn,n_isol
50,500,10.0,6,15,Oracle_NIO,-0.023858427373152972,39,11
50,500,10.0,6,15,LASSO_NIO,-0.33409793408347505,42,8
50,500,10.0,6,20,Oracle_NIO,-0.08408630438560546,39,11
50,500,10.0,6,20,LASSO_NIO,-0.8729417110201891,42,8
50,500,10.0,6,25,Oracle_NIO,-0.19064415579032187,39,11
50,500,10.0,6,25,LASSO_NIO,2.3998286489117233,42,8
50,500,10.0,6,30,Oracle_NIO,-0.12373272025424434,39,11
50,500,10.0,6,30,LASSO_NIO,0.18669288959820138,42,8
50,500,10.0,6,35,Oracle_NIO,-0.7394120539897603,39,11
50,500,10.0,6,35,LASSO_NIO,-0.17180088464838397,42,8
50,500,10.0,6,40,Oracle_NIO,0.9140094831458413,39,11
50,500,10.0,6,40,LASSO_NIO,-0.8666619650258623,42,8
50,500,10.0,6,45,Oracle_NIO,-0.10327218275804637,39,11
50,500,10.0,6,45,LASSO_NIO,0.4360527956909407,42,8
50,500,10.0,6,50,Oracle_NIO,-0.027162115216114283,39,11
50,500,10.0,6,50,LASSO_NIO,-0.5225834653573035,42,8
50,500,10.0,6,55,Oracle_NIO,-0.1968641836651756,39,11
50,500,10.0,6,55,LASSO_NIO,-2.1268827966865436,42,8
50,500,10.0,6,60,Oracle_NIO,-1.5420300827319586,39,11
50,500,10.0,6,60,LASSO_NIO,0.27487303729160206,42,8
50,500,10.0,6,65,Oracle_NIO,-0.24445934677362505,39,11
50,500,10.0,6,65,LASSO_NIO,-2.5648171898771186,42,8
50,500,10.0,6,70,Oracle_NIO,0.7434874527983657,39,11
50,500,10.0,6,70,LASSO_NIO,-0.6445754699631887,42,8
50,500,10.0,6,75,Oracle_NIO,0.09175202950407871,39,11
50,500,10.0,6,75,LASSO_NIO,0.866833105749576,42,8
50,500,10.0,6,80,Oracle_NIO,-0.07237931744372002,39,11
50,500,10.0,6,80,LASSO_NIO,0.44417898332032146,42,8
50,500,10.0,6,85,Oracle_NIO,0.023202216970209008,39,11
