N,T,T/N,trial,method,precision,recall,f1,hub_recovery,density
20,50,2.5,30,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,50,2.5,31,OLS,,,,,
20,50,2.5,31,LASSO,0.25,0.1,0.14285714285714285,0.2,0.021052631578947368
20,50,2.5,31,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,50,2.5,32,OLS,,,,,
20,50,2.5,32,LASSO,0.1111111111111111,0.05,0.06896551724137931,0.2,0.02368421052631579
20,50,2.5,32,KNN,0.21052631578947367,0.2,0.20512820512820512,0.4,0.05
20,50,2.5,33,OLS,,,,,
20,50,2.5,33,LASSO,0.0,0.0,0.0,0.2,0.007894736842105263
20,50,2.5,33,KNN,0.0,0.0,0.0,0.4,0.05
20,50,2.5,34,OLS,,,,,
20,50,2.5,34,LASSO,0.0,0.0,0.0,0.2,0.018421052631578946
20,50,2.5,34,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,50,2.5,35,OLS,,,,,
20,50,2.5,35,LASSO,0.09090909090909091,0.05,0.06451612903225806,0.4,0.02894736842105263
20,50,2.5,35,KNN,0.15789473684210525,0.15,0.15384615384615385,0.4,0.05
20,50,2.5,36,OLS,,,,,
20,50,2.5,36,LASSO,0.14285714285714285,0.05,0.07407407407407407,0.2,0.018421052631578946
20,50,2.5,36,KNN,0.0,0.0,0.0,0.6,0.05
20,50,2.5,37,OLS,,,,,
20,50,2.5,37,LASSO,0.2,0.15,0.17142857142857143,0.2,0.039473684210526314
20,50,2.5,37,KNN,0.21052631578947367,0.2,0.20512820512820512,0.6,0.05
20,50,2.5,38,OLS,,,,,
20,50,2.5,38,LASSO,0.375,0.15,0.21428571428571427,0.4,0.021052631578947368
20,50,2.5,38,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,50,2.5,39,OLS,,,,,
20,50,2.5,39,LASSO,0.4,0.1,0.16,0.2,0.013157894736842105
20,50,2.5,39,KNN,0.10526315789473684,0.1,0.10256410256410256,0.2,0.05
20,50,2.5,40,OLS,,,,,
20,50,2.5,40,LASSO,0.0,0.0,0.0,0.2,0.005263157894736842
20,50,2.5,40,KNN,0.05263157894736842,0.05,0.05128205128205128,0.4,0.05
20,50,2.5,41,OLS,,,,,
20,50,2.5,41,LASSO,0.09090909090909091,0.05,0.06451612903225806,0.2,0.02894736842105263
