trial,method,true_d1,true_d2,est_d1,est_d2,true_delta,est_delta,correct_direction
87,LASSO,0.030612244897959183,0.12244897959183673,0.0016326530612244899,0.004897959183673469,0.09183673469387754,0.0032653061224489793,1
88,OLS,0.030612244897959183,0.12244897959183673,0.04938775510204082,0.08040816326530613,0.09183673469387754,0.03102040816326531,1
88,LASSO,0.030612244897959183,0.12244897959183673,0.003673469387755102,0.0020408163265306124,0.09183673469387754,-0.0016326530612244894,0
89,OLS,0.030612244897959183,0.12244897959183673,0.05877551020408163,0.07428571428571429,0.09183673469387754,0.015510204081632659,1
89,LASSO,0.030612244897959183,0.12244897959183673,0.0020408163265306124,0.004897959183673469,0.09183673469387754,0.0028571428571428567,1
90,OLS,0.030612244897959183,0.12244897959183673,0.05877551020408163,0.0783673469387755,0.09183673469387754,0.019591836734693877,1
90,LASSO,0.030612244897959183,0.12244897959183673,0.0024489795918367346,0.004489795918367347,0.09183673469387754,0.0020408163265306124,1
91,OLS,0.030612244897959183,0.12244897959183673,0.05142857142857143,0.07755102040816327,0.09183673469387754,0.026122448979591838,1
91,LASSO,0.030612244897959183,0.12244897959183673,0.00040816326530612246,0.005714285714285714,0.09183673469387754,0.005306122448979592,1
92,OLS,0.030612244897959183,0.12244897959183673,0.044897959183673466,0.07510204081632653,0.09183673469387754,0.030204081632653063,1
92,LASSO,0.030612244897959183,0.12244897959183673,0.0012244897959183673,0.003673469387755102,0.09183673469387754,0.0024489795918367346,1
93,OLS,0.030612244897959183,0.12244897959183673,0.04857142857142857,0.07877551020408163,0.09183673469387754,0.030204081632653063,1
93,LASSO,0.030612244897959183,0.12244897959183673,0.003673469387755102,0.005714285714285714,0.09183673469387754,0.0020408163265306124,1
94,OLS,0.030612244897959183,0.12244897959183673,0.04204081632653061,0.07387755102040816,0.09183673469387754,0.03183673469387755,1
94,LASSO,0.030612244897959183,0.12244897959183673,0.0012244897959183673,0.002857142857142857,0.09183673469387754,0.0016326530612244899,1
